Number,ISLAND,FID,timeYrs,Delta,Censorship,Area_ha_Cov1,Area_Cov1_LogTrans,Latitude_Cov2,Erad_Numb_Cov3,EradNumb_Cov2_logx+1
1,"ADELE I., Tasman Bay",5326,107,1,Uncensored,88.29519535,1.945937072,-40.982527,5,0.77815125
2,ALDERMEN IS Hongiora,6179,117,0,Right Censored,15.54919528,1.191707918,-36.95708,0,0
3,ALDERMEN IS Middle Chain,6170,92,1,Uncensored,21.75995022,1.337657898,-36.957024,1,0.301029996
4,ALDERMEN IS Ruamahuaiti,6137,117,0,Right Censored,23.78804266,1.376358709,-36.975245,0,0
5,ALDERMEN IS Ruamahuanui,6186,117,0,Right Censored,30.35547765,1.482237071,-36.953592,0,0
6,"ALLPORTS I.,Queen Charlotte Sd",5101,89,1,Uncensored,16.46974645,1.216686913,-41.237194,6,0.84509804
7,"ANCHOR I.,Dusky Sd",3594,101,1,Uncensored,1136.611315,3.055611975,-45.758764,2,0.477121255
8,"ANCHORAGE I.,Port Pegasus",1015,117,0,Right Censored,140.6418956,2.148114711,-47.204261,5,0.77815125
9,ARAPAWA I.,282,117,0,Right Censored,7603.435584,3.881009871,-41.194623,0,0
10,BARE (MOTU-O-KURA) I.,5834,91,1,Uncensored,12.3249023,1.090783485,-39.833291,1,0.301029996
11,"BAUZA I.,Doubtful Sd",4131,102,1,Uncensored,461.5640064,2.664231934,-45.29343,1,0.301029996
12,"BENCH (COLL) I.,E.Stewart I.",1632,117,0,Right Censored,175.3387234,2.24387784,-46.908333,2,0.477121255
13,"BETSY I.,Boat Gp",1141,117,0,Right Censored,5.70231204,0.756050979,-47.129666,0,0
14,"BIG I.,Boat Gp",1124,117,0,Right Censored,22.70399506,1.356102284,-47.137297,0,0
15,BIG SOUTH CAPE I.,935,106,1,Uncensored,922.0808234,2.96476899,-47.234597,1,0.301029996
16,"BIRD I.,W. of Ruapuke I.",1895,117,0,Right Censored,25.73776158,1.410570773,-46.768554,0,0
17,"BLUMINE I.,Queen Charlotte Sd",5127,105,1,Uncensored,395.592047,2.597247552,-41.175833,4,0.698970004
18,"BREAKSEA I.,Breaksea Sd",3963,88,1,Uncensored,152.8784328,2.184346222,-45.579194,1,0.301029996
19,"BREAKSEA IS,SE Stewart I. Kaihuka",1236,117,0,Right Censored,10.53489471,1.0226302,-47.113931,1,0.301029996
20,"BREAKSEA IS,SE Stewart I. Rukawahak",1265,117,0,Right Censored,23.26413131,1.36668684,-47.104394,0,0
21,"BREAKSEA IS,SE Stewart I. Wharepuia",1226,117,0,Right Censored,18.56707019,1.268743379,-47.116242,1,0.301029996
22,BROTHERS IS Little Brother,5202,117,0,Right Censored,2.924728472,0.466085553,-41.103039,0,0
23,BROTHERS IS Southern Brother,5173,117,0,Right Censored,7.284399253,0.862393741,-41.114699,0,0
24,"BROWNS(MOTUKOREA) I.,Hauraki Gf",375,95,1,Uncensored,60.37342128,1.780845787,-36.832111,4,0.698970004
25,"CASNELL I.,Mahurangi Heads",6784,117,0,Right Censored,6.742499446,0.828820919,-36.4902,0,0
26,"CASTLE I.,E. Coromandel",6259,117,0,Right Censored,1.178771608,0.071429667,-36.868505,0,0
27,CAVALLI IS Hamaruru,8603,117,0,Right Censored,8.542977057,0.93160924,-34.976597,1,0.301029996
28,CAVALLI IS Haraweka,8549,117,0,Right Censored,6.221275137,0.793879409,-34.982009,0,0
29,CAVALLI IS Motuharakeke,8387,117,0,Right Censored,5.416035284,0.733681485,-35.000862,0,0
30,CAVALLI IS Motukawaiti,8277,117,0,Right Censored,45.91221524,1.661928248,-35.032497,0,0
31,CAVALLI IS Motukawanui,8537,117,0,Right Censored,382.0849445,2.582159925,-35.000081,0,0
32,CAVALLI IS Motutapere,8615,117,0,Right Censored,45.65309514,1.659470227,-34.971369,4,0.698970004
33,CAVALLI IS Nukutaunga,8587,117,0,Right Censored,13.0064777,1.114159701,-34.975611,1,0.301029996
34,CAVALLI IS Panaki,8595,117,0,Right Censored,15.31324463,1.18506722,-34.975917,1,0.301029996
35,"CENTRE(RAROTOKA) I.,Foveaux St",2179,97,1,Uncensored,103.3890657,2.014474611,-46.45675,1,0.301029996
36,"CHALKY I., Chalky Inlet",2781,101,1,Uncensored,511.6525813,2.708975169,-46.0525,2,0.477121255
37,CHETWODE IS Nukuwaiata,5491,94,1,Uncensored,185.3512919,2.267995617,-40.90093,4,0.698970004
38,CHETWODE IS Te Kakaho,5479,94,1,Uncensored,86.16753984,1.935343694,-40.89418,3,0.602059991
39,CHICKEN IS Coppermine,7379,97,1,Uncensored,76.81956254,1.88547183,-35.889194,2,0.477121255
40,CHICKEN IS Marotiri (Lady Alice),7391,94,1,Uncensored,145.7032687,2.163469295,-35.890236,2,0.477121255
41,CHICKEN IS Mauitaha,7404,117,0,Right Censored,3.315101127,0.520496781,-35.838575,0,0
42,CHICKEN IS Muriwhenua,7395,117,0,Right Censored,2.660599723,0.424979542,-35.884017,0,0
43,CHICKEN IS Whatupuke,7366,93,1,Uncensored,98.94097259,1.995376175,-35.88983,2,0.477121255
44,"COAL I., Preservation Inlet",2596,117,0,Right Censored,1195.188278,3.077436325,-46.119597,3,0.602059991
45,CODFISH I.,1868,97,1,Uncensored,1529.930098,3.184671588,-46.772541,3,0.602059991
46,"CONE I., Stephenson I. Gp",8684,117,0,Right Censored,6.975187045,0.843555858,-34.953211,1,0.301029996
47,"COOPER I.,Dusky Sd",3753,117,0,Right Censored,1778.963585,3.250167058,-35.884017,0,0
48,"CORDING IS,Preservation Inlet ""North""",2742,117,0,Right Censored,4.524974369,0.655616124,-46.066911,0,0
49,"CORDING IS,Preservation Inlet ""South""",2721,117,0,Right Censored,26.26880413,1.419440302,-46.074144,0,0
