ISLAND,FID,Delta,TimeYrs,Cov1_Area,Cov2_Latitude,Cov3_Erad_Number,Cov4_Rodent_pres,Cov5_Possum_pres,Cov6_Mustelid_pres,Cov7_Erad_method
"ADELE I., Tasman Bay",5326,1,107,88.29519535,40.982527,5,1,0,1,toxicant and hunt/trap
ALDERMEN IS Hongiora,6179,0,117,15.54919528,36.95708,0,0,0,0,none
ALDERMEN IS Middle Chain,6170,1,92,21.75995022,36.957024,1,1,0,0,toxicant
"ALLPORTS I.,Queen Charlotte Sd",5101,1,89,16.46974645,41.237194,5,1,1,0,toxicant and hunt/trap
"ANCHOR I.,Dusky Sd",3594,1,101,1136.611315,45.758764,2,1,0,1,hunt/trap
"ANCHORAGE I.,Port Pegasus",1015,0,117,140.6418956,47.204261,3,1,0,0,toxicant
ARAPAWA I.,282,0,117,7603.435584,41.194623,0,1,0,0,none
BARE (MOTU-O-KURA) I.,5834,1,91,12.3249023,39.833291,1,1,0,0,toxicant
"BAUZA I.,Doubtful Sd",4131,1,102,461.5640064,45.29343,1,1,0,1,hunt/trap
"BENCH (COLL) I.,E.Stewart I.",1632,0,117,175.3387234,46.908333,1,1,0,0,toxicant
BIG SOUTH CAPE I.,935,1,106,922.0808234,47.234597,1,1,0,0,toxicant
"BIRD I.,W. of Ruapuke I.",1895,0,117,25.73776158,46.768554,0,0,0,0,none
"BLUMINE I.,Queen Charlotte Sd",5127,1,105,395.592047,41.175833,4,1,0,1,toxicant and hunt/trap
"BREAKSEA I.,Breaksea Sd",3963,1,88,152.8784328,45.579194,1,1,0,0,toxicant
"BREAKSEA IS,SE Stewart I. Kaihuka",1236,0,117,10.53489471,47.113931,1,1,0,0,other
"BREAKSEA IS,SE Stewart I. Rukawahak",1265,0,117,23.26413131,47.104394,0,1,0,0,none
"BREAKSEA IS,SE Stewart I. Wharepuia",1226,0,117,18.56707019,47.116242,1,1,0,0,other
"BROWNS(MOTUKOREA) I.,Hauraki Gf",375,1,95,60.37342128,36.832111,3,1,0,1,toxicant and hunt/trap
"CASNELL I.,Mahurangi Heads",6784,0,117,6.742499446,36.4902,0,0,0,0,none
CAVALLI IS Hamaruru,8603,0,117,8.542977057,34.976597,1,0,0,0,other
CAVALLI IS Haraweka,8549,0,117,6.221275137,34.982009,0,0,0,0,none
CAVALLI IS Motuharakeke,8387,0,117,5.416035284,35.000862,0,0,0,0,none
CAVALLI IS Motukawaiti,8277,0,117,45.91221524,35.032497,0,0,0,0,none
CAVALLI IS Motukawanui,8537,0,117,382.0849445,35.000081,0,1,0,1,none
CAVALLI IS Motutapere,8615,0,117,5.204254798,34.971369,3,1,1,0,toxicant
CAVALLI IS Nukutaunga,8587,0,117,13.0064777,34.975611,1,0,0,0,hunt/trap
CAVALLI IS Panaki,8595,0,117,15.31324463,34.975917,1,0,0,0,other
"CENTRE(RAROTOKA) I.,Foveaux St",2179,1,97,103.3890657,46.45675,1,1,0,0,toxicant
"CHALKY I., Chalky Inlet",2781,1,101,511.6525813,46.0525,2,1,0,1,hunt/trap
CHETWODE IS Nukuwaiata,5491,1,94,185.3512919,40.90093,4,1,0,0,toxicant and hunt/trap
CHETWODE IS Te Kakaho,5479,1,94,86.16753984,40.89418,3,0,0,0,hunt/trap
CHICKEN IS Coppermine,7379,1,97,76.81956254,35.889194,2,1,0,0,toxicant
